g1	g0	g2	g3	g6	g4	g9	g5	g7	g8	g12	g11	g14	g13	g15	g10	g19	g18	g17	g16	g20
Gelse-mpi.v2.1-MPIG000310	0.0581401223356633	0.0562957042722481	0.0173849697909745	0.058398894843994	0.0207437321848748	0.00831335307449562	0	0	0.0335527556924006	0.0480878056310091	0	0.0495091798447974	0	0	0	0.0189977483790223	0	0	0	0	0
Gelse-mpi.v2.1-MPIG000320	0.0529725990178303	0.0354563989856939	0.037334372299718	0.0109458185663901	0	0	0	0.0285993286832305	0	0	0.0389166279680077	0	0	0	0	0	0	0	0.18736432126223	0	0
Gelse-mpi.v2.1-MPIG000330	0.0932407187274909	0.418239292377225	0.361016334122392	0.584330211721568	0.516518044627525	0.275859757246627	0.115130297956993	0.268202452974289	0.116444966403991	0.267841548436023	0.602178916495496	0.399435223315083	0.438354559316122	0.687483996354582	0.161213060077675	0.0457404473076886	0	0	0	0.217386640046924	0
Gelse-mpi.v2.1-MPIG000350	0.011701514280681	0	0	0	0.0130271069690953	0	0	0.0083056679933798	0	0	0	0	0	0	0	0	0	0	0	0	0
Gelse-mpi.v2.1-MPIG000360	0.126676987914101	0.201234746351704	0.2352222876754	0.247953076042776	0.173207148149822	0.176736758106486	0.175635053305349	0.0763089141127014	0.223221573765124	0.149211520132315	0.0620916464149744	0.154617469571289	0.233465787816385	0.0916971895891815	0.120633815576322	0.194539303080999	0.337826286354177	0.145854456751306	0.0395809146215811	0.431378953499049	0
Gelse-mpi.v2.1-MPIG000370	0.840632989524688	0.991274012418762	0.8485029513359	0.859673620559006	1.02102345916536	0.5822364994628	0.53596052093626	0.771261585190899	0.845268518744333	1.17212309337903	0.653667058342524	0.578993347230967	0.964735151775839	0.881014469997938	0.799759752928785	0.653989826876192	0.438076113933422	0.635612608863205	0.760694014882485	0.649318306008176	0.773340934900409
Gelse-mpi.v2.1-MPIG000380	0.525381861973679	0.890808163461712	0.80116216594516	0.715059995171196	0.655926988964406	0.3641799575154	0.451428330202933	0.494065029185291	0.488136958702823	0.881793118463314	0.17115091752467	0.71457635272676	0.690108956130091	0.347644617887357	0.454994714575236	0.362806787680648	0	0.643862166253181	0.236052417482519	0	0
Gelse-mpi.v2.1-MPIG000390	0.191637088726506	0.150123945238073	0.0862922667062224	0.0687882207806352	0.142113216204797	0.277346247180098	0.147323965698983	0.154665244793138	0.186439373742724	0.14882506984771	0.0906671264502904	0.046358672500405	0.199722266993183	0.23352631408823	0.122374985747232	0.28027840669137	0	0	0.184616838973588	0.35439212545748	0
Gelse-mpi.v2.1-MPIG000400	0.245644708490296	0.287668820673432	0.215976764013656	0.25410470961378	0.341650205113849	0.358728063705702	0.123099100959372	0.331404865956465	0.23080205598903	0.26824953447306	0.329888618974585	0.154472886779473	0.276240074998472	0.134105886926437	0.561257514718952	0.224334928779112	0	0	0.188195038638499	0	0.264073857183279
Gelse-mpi.v2.1-MPIG000420	0.363373237120717	0.23937584458889	0.403085304868587	0.285690719861194	0.262420385660831	0.535496659214427	0.733309925072293	0.273088746990068	0.290876700832749	0.21671458720244	0.347993319774178	0.341893306835765	0.146869507174344	0.167023991193198	0.409027475117089	0.361005519200884	0.860145223271618	0.533491043180528	0.44580597322975	0.531893693827112	0
Gelse-mpi.v2.1-MPIG000430	0.0932881947673864	0.0909894045336445	0.0879916511965315	0.0808941566079464	0.026960738708775	0.149750893570044	0.0811217587080887	0.175344635618317	0.148345046876207	0.0338057313446886	0.0538180824858787	0.157694979707212	0.138460712742937	0.0498766953797373	0.131196232150603	0.23385164431942	0.172633423835756	0.343896514349645	0.0833426706201246	0.195221125321137	0
